Fa13.BD.MLB.DN 26|AB731631.1.2765 0.152947 790 0.248294
Fa13.BD.MM110.SN 216|EU703387.1.1470 0.017683 1465 0.015445
Fa13.BD.MM110.SN 15|EU801266.1.1487 0.017288 1450 0.015256
Fa13.BD.MM110.SN 98|GU305786.1.1496 0.016415 1455 0.014436
Fa13.BD.MM110.SN 90|EU117805.1.1508 0.015693 1504 0.013351
Fa13.BD.MM110.SN 307|FJ800553.1.1438 0.015220 1274 0.015287
Fa13.BD.MM110.SN 680|FN668296.1.1471 0.014751 1469 0.012849
Fa13.BD.MM110.SN 36|AY947975.1.1412 0.013226 1400 0.012088
Fa13.BD.MM110.SN 100|KJ201907.67259.68729 0.012875 1455 0.011323
Fa13.BD.MM110.SN 1059|EU801912.1.1498 0.011254 1493 0.009645
Fa13.BD.MM110.SN 192|GU305778.1.1502 0.010657 1348 0.010116
Fa13.BD.MM110.SN 752|JN626854.1.1296 0.010009 1245 0.010287
Fa13.BD.MM110.SN 50|KJ925178.1.1666 0.009509 1655 0.007352
Fa13.BD.MM110.SN 139|EU162628.1.1765 0.009041 1701 0.006801
Fa13.BD.MM110.SN 566|KF596564.1.1479 0.007394 1372 0.006896
Fa13.BD.MM110.SN 44|JQIO01000292.890395.892182 0.007184 722 0.012732
Fa13.BD.MM110.SN 266|HM856519.1.1451 0.006834 1383 0.006323
Fa13.BD.MM110.SN 237|EF520604.1.1424 0.006751 1407 0.006140
Fa13.BD.MM110.SN 400|JF730872.1.1702 0.006712 1618 0.005308
Fa13.BD.MM110.SN 35|GU067973.1.1763 0.006350 1612 0.005041
Fa13.BD.MM110.SN 86|JF830233.1.1460 0.005980 1403 0.005454
Fa13.BD.MM110.SN 73|HM856480.1.1443 0.005553 1385 0.005130
Fa13.BD.MM110.SN 235|JF730802.1.1686 0.005504 1521 0.004630
Fa13.BD.MM110.SN 399|GQ340328.1.1390 0.005233 1387 0.004828
Fa13.BD.MM110.SN 14|HM856448.1.1440 0.005185 1396 0.004753
Fa13.BD.MM110.SN 473|KF650384.1.1483 0.005126 1415 0.004635
Fa13.BD.MM110.SN 798|JN656823.1.1488 0.004828 1271 0.004861
Fa13.BD.MM110.SN 470|JN868873.1.1512 0.004393 1215 0.004626
Fa13.BD.MM110.SN 165|FN668105.1.1474 0.004077 1461 0.003571
Fa13.BD.MM110.SN 154|FJ382019.1.1406 0.003909 1214 0.004120
Fa13.BD.MM110.SN 49|GQ340110.1.1425 0.003295 1414 0.002982
Fa13.BD.MM110.SN 332|FN668203.1.1499 0.002756 1481 0.002381
Fa13.BD.MM110.SN 51|GU305724.1.1467 0.002441 1289 0.002423
Fa13.BD.MM15.DN 1|AB731631.1.2765 0.200721 781 0.313067
Fa13.BD.MM15.DN 6|JQ906014.1.1393 0.049490 1391 0.043340
Fa13.BD.MM15.DN 1079|HM856514.1.1453 0.033415 1439 0.028286
Fa13.BD.MM15.DN 101|HM856450.1.1435 0.031434 1430 0.026777
Fa13.BD.MM15.DN 220|FJ612150.1.1429 0.022866 1421 0.019602
Fa13.BD.MM15.DN 74|HM856500.1.1441 0.022584 1383 0.019892
Fa13.BD.MM15.DN 13|AB753961.1.1451 0.022060 1429 0.018805
Fa13.BD.MM15.DN 59|GU305773.1.1492 0.021304 1486 0.017464
Fa13.BD.MM15.DN 23|HM856485.1.1437 0.020910 1436 0.017738
Fa13.BD.MM15.DN 3|EU703454.1.1487 0.019505 1481 0.016043
Fa13.BD.MM15.DN 95|FJ382022.1.1346 0.018623 1341 0.016917
Fa13.BD.MM15.DN 64|EU703387.1.1470 0.017195 1460 0.014346
Fa13.BD.MM15.DN 104|AACY020469740.331.1809 0.016762 1456 0.014024
Fa13.BD.MM15.DN 319|EU801147.1.1480 0.016555 1384 0.014571
Fa13.BD.MM15.DN 10|EU703390.1.1491 0.015676 1392 0.013718
Fa13.BD.MM15.DN 423|JN868881.1.1534 0.015015 1399 0.013074
Fa13.BD.MM15.DN 1120|HE574343.1.1333 0.014953 1314 0.013862
Fa13.BD.MM15.DN 160|HM856573.1.1433 0.014534 1423 0.012442
Fa13.BD.MM15.DN 521|EU801266.1.1487 0.013985 1473 0.011565
Fa13.BD.MM15.DN 267|GU305764.1.1479 0.013632 1473 0.011273
Fa13.BD.MM15.DN 16|AY948053.1.1393 0.013084 1375 0.011591
Fa13.BD.MM15.DN 11|EU802050.1.1484 0.012995 1469 0.010776
Fa13.BD.MM15.DN 250|HM856519.1.1451 0.012793 1424 0.010944
Fa13.BD.MM15.DN 17|GU305786.1.1496 0.012427 1482 0.010214
Fa13.BD.MM15.DN 669|FN668296.1.1471 0.011679 1467 0.009698
Fa13.BD.MM15.DN 117|FJ916094.1.1516 0.011572 1305 0.010802
Fa13.BD.MM15.DN 254|EU801876.1.1485 0.011076 1476 0.009141
Fa13.BD.MM15.DN 203|KJ201907.67259.68729 0.010991 1450 0.009233
Fa13.BD.MM15.DN 414|JN868983.1.1477 0.010358 1471 0.008577
Fa13.BD.MM15.DN 565|KF385066.1.1484 0.009695 1482 0.007969
Fa13.BD.MM15.DN 230|FN668279.1.1481 0.009563 1479 0.007876
Fa13.BD.MM15.DN 379|GU305778.1.1502 0.009483 1399 0.008257
Fa13.BD.MM15.DN 489|HQ324871.1.1504 0.009279 1466 0.007710
Fa13.BD.MM15.DN 54|GU305845.1.1493 0.009235 1476 0.007622
Fa13.BD.MM15.DN 283|FN668188.1.1485 0.009158 1385 0.008055
Fa13.BD.MM15.DN 195|GQ340110.1.1425 0.008649 1414 0.007451
Fa13.BD.MM15.DN 309|GQ340104.1.1392 0.008508 1383 0.007494
Fa13.BD.MM15.DN 312|GU068021.1.1740 0.008288 1442 0.007001
Fa13.BD.MM15.DN 372|EU803628.1.1486 0.008203 1479 0.006756
Fa13.BD.MM15.DN 465|FN668267.1.1475 0.008086 1472 0.006691
Fa13.BD.MM15.DN 247|FJ800553.1.1438 0.007929 1247 0.007745
Fa13.BD.MM15.DN 271|FN668181.1.1494 0.007678 1456 0.006424
Fa13.BD.MM15.DN 658|EU801976.1.1481 0.007572 1455 0.006339
Fa13.BD.MM15.DN 19|GU305838.1.1486 0.007188 1484 0.005900
Fa13.BD.MM15.DN 105|EU703171.1.1433 0.007165 1388 0.006288
Fa13.BD.MM15.DN 67|JN868990.1.1501 0.007117 1491 0.005815
Fa13.BD.MM15.DN 45|HM856480.1.1443 0.006987 1394 0.006106
Fa13.BD.MM15.DN 278|EU801912.1.1498 0.005889 1487 0.004824
Fa13.BD.MM15.DN 135|FJ612436.1.1451 0.005849 1450 0.004914
Fa13.BD.MM15.DN 183|EU801389.1.1485 0.005635 1246 0.005509
Fa13.BD.MM15.DN 732|FJ612174.1.1445 0.005586 1417 0.004802
Fa13.BD.MM15.DN 15|DQ316368.1.1499 0.005306 1434 0.004507
Fa13.BD.MM15.DN 1267|EU801243.1.1477 0.005232 1474 0.004324
Fa13.BD.MM15.DN 542|FJ800526.1.1495 0.005135 1306 0.004790
Fa13.BD.MM15.DN 4|FN668075.1.1481 0.004951 1477 0.004083
Fa13.BD.MM15.DN 486|FN668197.1.1487 0.004666 1449 0.003923
Fa13.BD.MM15.DN 620|HE574348.1.1420 0.004594 1234 0.004535
Fa13.BD.MM15.DN 131|EU800415.1.1480 0.004468 1442 0.003774
Fa13.BD.MM15.DN 194|FN668203.1.1499 0.004462 1484 0.003663
Fa13.BD.MM15.DN 224|FJ612192.1.1499 0.004390 1495 0.003577
Fa13.BD.MM15.DN 166|JQIO01000292.890395.892182 0.004325 1494 0.003526
Fa13.BD.MM15.DN 264|EU703392.1.1420 0.004257 1372 0.003780
Fa13.BD.MM15.DN 140|HM128717.1.1432 0.004219 1165 0.004411
Fa13.BD.MM15.DN 566|GQ340107.1.1394 0.004193 1349 0.003786
Fa13.BD.MM15.DN 814|HM856502.1.1441 0.004182 1418 0.003593
Fa13.BD.MM15.DN 49|FJ744961.1.1302 0.004144 1284 0.003931
Fa13.BD.MM15.DN 437|EU703222.1.1393 0.003891 1377 0.003442
Fa13.BD.MM15.DN 51|JX448591.1.1333 0.003686 1213 0.003702
Fa13.BD.MM15.DN 487|GU305706.1.1485 0.003622 1474 0.002993
Fa13.BD.MM15.DN 507|AY752108.1.1394 0.003523 1388 0.003092
Fa13.BD.MM15.DN 284|FN668204.1.1480 0.003485 1468 0.002892
Fa13.BD.MM15.DN 282|HM856448.1.1440 0.003149 1439 0.002666
Fa13.BD.MM15.DN 593|JNSL01000092.13637.15084 0.003105 1437 0.002632
Fa13.BD.MM15.DN 369|JF730872.1.1702 0.003063 1553 0.002403
Fa13.BD.MM15.DN 281|JN868989.1.1540 0.002974 1450 0.002498
Fa13.BD.MM15.DN 653|JN626854.1.1296 0.002952 1259 0.002856
Fa13.BD.MM15.DN 323|HM856394.1.1444 0.002890 1320 0.002667
Fa13.BD.MM15.DN 88|AB753901.1.1462 0.002794 1325 0.002569
Fa13.BD.MM15.DN 18|FJ820453.1.1493 0.002740 1491 0.002239
Fa13.BD.MM15.DN 425|EU268110.1.1441 0.002248 1198 0.002286
Fa13.BD.MM15.DN 165|FN668187.1.1489 0.002036 1483 0.001672
Fa13.BD.MM15.DN 80|JN868815.1.1525 0.001982 1332 0.001813
Fa13.BD.MM15.DN 822|GQ340328.1.1390 0.001148 1380 0.001013
Fa13.BD.MM15.DN 142|FN668105.1.1474 0.000957 1472 0.000792
Fa13.BD.MM15.DN 94|EU800500.1.1497 0.000297 1485 0.000244
Fa13.BD.MM15.SD 92|AB731631.1.2765 0.847190 1067 0.877531
Fa13.BD.MM15.SD 183|HE600664.2.1467 0.014495 1465 0.010935
Fa13.BD.MM15.SD 58|HM856450.1.1435 0.012779 1426 0.009904
Fa13.BD.MM15.SD 2372|HE600664.2.1467_m02 0.010046 1465 0.007579
Fa13.BD.MM15.SD 11|AY948053.1.1393 0.009058 1378 0.007265
Fa13.BD.MM15.SD 62|GU305773.1.1492 0.009028 1484 0.006724
Fa13.BD.MM15.SD 244|EU801147.1.1480 0.008524 1383 0.006812
Fa13.BD.MM15.SD 105|HM856485.1.1437 0.006166 1417 0.004809
Fa13.BD.MM15.SD 0|EU703390.1.1491 0.005421 1397 0.004289
Fa13.BD.MM15.SD 34|HM128747.1.1413 0.005395 1408 0.004235
Fa13.BD.MM15.SD 8|EU800835.1.1493 0.004927 1259 0.004325
Fa13.BD.MM15.SD 101|JN868983.1.1477 0.004887 1450 0.003725
Fa13.BD.MM15.SD 121|HM129939.1.1409 0.004484 1403 0.003532
Fa13.BD.MM15.SD 231|EU703387.1.1470 0.004313 1460 0.003265
Fa13.BD.MM15.SD 194|EU803219.1.1277 0.004300 915 0.005194
Fa13.BD.MM15.SD 31|GU305786.1.1496 0.004226 1491 0.003133
Fa13.BD.MM15.SD 111|EU801266.1.1487 0.004220 1442 0.003234
Fa13.BD.MM15.SD 281|KJ201907.67259.68729 0.003938 1452 0.002997
Fa13.BD.MM15.SD 72|GU305778.1.1502 0.003191 1384 0.002548
Fa13.BD.MM15.SD 717|EU801376.1.1402 0.003022 1083 0.003084
Fa13.BD.MM15.SD 798|FJ612352.1.1449 0.002189 1250 0.001935
Fa13.BD.MM15.SD 82|HM856519.1.1451 0.002188 1320 0.001832
Fa13.BD.MM15.SD 139|GU068021.1.1740 0.002155 1444 0.001649
Fa13.BD.MM15.SD 211|HM856480.1.1443 0.002077 1367 0.001679
Fa13.BD.MM15.SD 391|EU703222.1.1393 0.002076 1382 0.001660
Fa13.BD.MM15.SD 633|FR683650.1.1439 0.001993 988 0.002229
Fa13.BD.MM15.SD 151|JF901752.1.1405 0.001782 1181 0.001668
Fa13.BD.MM15.SD 108|JN626854.1.1296 0.001507 1269 0.001312
Fa13.BD.MM15.SD 19|JF730872.1.1702 0.001469 1629 0.000997
Fa13.BD.MM15.SD 141|KC928321.1.1708 0.001407 1632 0.000953
Fa13.BD.MM15.SD 249|JF830233.1.1460 0.001344 1425 0.001042
Fa13.BD.MM15.SD 54|AACY020469740.331.1809 0.001344 1420 0.001046
Fa13.BD.MM15.SD 371|JF730802.1.1686 0.001267 1380 0.001015
Fa13.BD.MM15.SD 315|EU162628.1.1765 0.001266 1621 0.000863
Fa13.BD.MM15.SD 170|GQ340110.1.1425 0.001188 1414 0.000929
Fa13.BD.MM15.SD 98|JQIO01000292.890395.892182 0.001063 1496 0.000785
Fa13.BD.MM15.SD 49|GQ340107.1.1394 0.001001 1328 0.000833
Fa13.BD.MM15.SD 124|FN668203.1.1499 0.000848 1491 0.000629
Fa13.BD.MM15.SD 301|GQ340328.1.1390 0.000818 1377 0.000657
Fa13.BD.MM15.SD 50|JNSL01000092.13637.15084 0.000781 1359 0.000635
Fa13.BD.MM15.SD 580|FJ744961.1.1302 0.000625 1301 0.000531
Fa13.BD.MM15.SN 22|AB731631.1.2765 0.315944 802 0.445219
Fa13.BD.MM15.SN 96|JQ906014.1.1393 0.056960 1391 0.046279
Fa13.BD.MM15.SN 2508|FN668020.1.1490_m01 0.041590 1486 0.031631
Fa13.BD.MM15.SN 31|GU305773.1.1492 0.034664 1486 0.026363
Fa13.BD.MM15.SN 84|FJ612150.1.1429 0.033718 1420 0.026836
Fa13.BD.MM15.SN 240|HM856450.1.1435 0.033155 1419 0.026406
Fa13.BD.MM15.SN 242|AB753961.1.1451 0.030219 1431 0.023866
Fa13.BD.MM15.SN 94|HM856485.1.1437 0.030150 1420 0.023996
Fa13.BD.MM15.SN 57|JN868757.1.1504 0.028595 1501 0.021530
Fa13.BD.MM15.SN 104|AF289158.1.1430 0.027739 1389 0.022570
Fa13.BD.MM15.SN 56|EU703390.1.1491 0.021676 1385 0.017688
Fa13.BD.MM15.SN 103|FJ382022.1.1346 0.021037 1306 0.018204
Fa13.BD.MM15.SN 14|KJ201907.67259.68729 0.020232 1468 0.015576
Fa13.BD.MM15.SN 268|JN868983.1.1477 0.019415 1460 0.015029
Fa13.BD.MM15.SN 245|EU801266.1.1487 0.016923 1481 0.012914
Fa13.BD.MM15.SN 1021|EU803219.1.1277 0.016183 935 0.019561
Fa13.BD.MM15.SN 38|HM856500.1.1441 0.015015 1325 0.012807
Fa13.BD.MM15.SN 423|GU305764.1.1479 0.014904 1469 0.011466
Fa13.BD.MM15.SN 299|EU801376.1.1402 0.014662 1079 0.015357
Fa13.BD.MM15.SN 69|EU703387.1.1470 0.012852 1447 0.010038
Fa13.BD.MM15.SN 538|AY947908.1.1448 0.012526 1419 0.009976
Fa13.BD.MM15.SN 46|EU801389.1.1485 0.011564 1481 0.008825
Fa13.BD.MM15.SN 167|AY947975.1.1412 0.011483 1358 0.009556
Fa13.BD.MM15.SN 115|GU305786.1.1496 0.010864 1429 0.008592
Fa13.BD.MM15.SN 215|HM128623.1.1440 0.009697 1438 0.007621
Fa13.BD.MM15.SN 165|HM856448.1.1440 0.009641 1424 0.007652
Fa13.BD.MM15.SN 286|JF901752.1.1405 0.008653 1235 0.007918
Fa13.BD.MM15.SN 106|GU068021.1.1740 0.008638 1415 0.006899
Fa13.BD.MM15.SN 583|AM279188.8.1487 0.008413 1443 0.006589
Fa13.BD.MM15.SN 330|JF730830.1.1676 0.007868 1571 0.005660
Fa13.BD.MM15.SN 320|EU703391.1.1492 0.007814 1423 0.006206
Fa13.BD.MM15.SN 272|JF730872.1.1702 0.007253 1666 0.004920
Fa13.BD.MM15.SN 231|HM856480.1.1443 0.007232 1394 0.005863
Fa13.BD.MM15.SN 30|AACY020469740.331.1809 0.007126 1458 0.005524
Fa13.BD.MM15.SN 144|GQ340110.1.1425 0.006998 1370 0.005773
Fa13.BD.MM15.SN 24|HM856519.1.1451 0.006744 1369 0.005567
Fa13.BD.MM15.SN 159|KC928321.1.1708 0.006617 1703 0.004391
Fa13.BD.MM15.SN 398|FN668188.1.1485 0.006308 1443 0.004940
Fa13.BD.MM15.SN 428|FJ612174.1.1445 0.005980 1385 0.004880
Fa13.BD.MM15.SN 73|KJ925178.1.1666 0.005728 1573 0.004115
Fa13.BD.MM15.SN 204|JQIO01000292.890395.892182 0.005505 1485 0.004190
Fa13.BD.MM15.SN 177|FJ744961.1.1302 0.004581 1273 0.004067
Fa13.BD.MM15.SN 91|FR683650.1.1439 0.004562 759 0.006793
Fa13.BD.MM15.SN 131|EU703222.1.1393 0.004483 1378 0.003677
Fa13.BD.MM15.SN 110|FN668203.1.1499 0.004399 1453 0.003422
Fa13.BD.MM15.SN 306|GQ340107.1.1394 0.003690 1367 0.003051
Sp13.BD.MLB.SN 45|JN003052.1.1286 0.073454 1285 0.079848
Sp13.BD.MLB.SN 91|JF697441.1.1478 0.050584 1475 0.047904
Sp13.BD.MLB.SN 1400|FJ849626.1.1459 0.047007 1450 0.045284
Sp13.BD.MLB.SN 168|EU801771.1.1304 0.045501 1303 0.048779
Sp13.BD.MLB.SN 44|FJ612248.1.1473 0.044618 1471 0.042369
Sp13.BD.MLB.SN 509|CP002056.133281.134806 0.041193 1525 0.037732
Sp13.BD.MLB.SN 620|GU127177.1.1205 0.031530 876 0.050277
Sp13.BD.MLB.SN 472|EU801289.1.1497 0.029849 1497 0.027852
Sp13.BD.MLB.SN 63|EU800359.1.1471 0.027484 1452 0.026440
Sp13.BD.MLB.SN 83|AJ867906.1.1523 0.026992 1521 0.024789
Sp13.BD.MLB.SN 441|KC886789.1.1473 0.026749 1472 0.025384
Sp13.BD.MLB.SN 75|FJ612192.1.1499 0.025463 1413 0.025172
Sp13.BD.MLB.SN 200|AY752124.1.1378 0.025236 1376 0.025619
Sp13.BD.MLB.SN 362|EU802152.1.1466 0.024159 1449 0.023290
Sp13.BD.MLB.SN 133|EU801867.1.1488 0.020331 1484 0.019137
Sp13.BD.MLB.SN 89|JN232915.1.1483 0.020035 1472 0.019012
Sp13.BD.MLB.SN 137|JQ994349.1.1473 0.019752 1473 0.018731
Sp13.BD.MLB.SN 155|EU703387.1.1470 0.019584 1456 0.018789
Sp13.BD.MLB.SN 142|AJ575498.1.1478 0.019187 1476 0.018158
Sp13.BD.MLB.SN 58|EU801376.1.1402 0.017582 1206 0.020364
Sp13.BD.MLB.SN 647|EU800816.1.1493 0.016803 1486 0.015795
Sp13.BD.MLB.SN 788|EU801113.1.1479 0.016744 1471 0.015900
Sp13.BD.MLB.SN 446|EU801522.1.1490 0.016402 1489 0.015387
Sp13.BD.MLB.SN 319|EU801906.1.1470 0.015189 1457 0.014562
Sp13.BD.MLB.SN 17|AB753961.1.1451 0.014240 1414 0.014067
Sp13.BD.MLB.SN 399|JF697410.1.1489 0.012828 1452 0.012341
Sp13.BD.MLB.SN 273|EU801912.1.1498 0.012711 1490 0.011916
Sp13.BD.MLB.SN 581|JN626667.1.1336 0.012585 1332 0.013198
Sp13.BD.MLB.SN 1258|EU801391.1.1417 0.011811 1384 0.011921
Sp13.BD.MLB.SN 201|HQ532763.1.1516 0.011472 1505 0.010648
Sp13.BD.MLB.SN 147|EU800799.1.1416 0.011434 1416 0.011279
Sp13.BD.MLB.SN 449|EU801738.1.1482 0.011329 1477 0.010714
Sp13.BD.MLB.SN 291|FN668267.1.1475 0.010624 1475 0.010061
Sp13.BD.MLB.SN 166|EU800490.1.1476 0.010518 1474 0.009968
Sp13.BD.MLB.SN 684|JX406245.1.1480 0.010152 1477 0.009601
Sp13.BD.MLB.SN 28|EU802021.1.1480 0.009027 1408 0.008956
Sp13.BD.MLB.SN 388|JN626511.1.1354 0.007902 1350 0.008176
Sp13.BD.MLB.SN 47|AY947908.1.1448 0.007729 1356 0.007962
Sp13.BD.MLB.SN 51|FN668111.1.1480 0.007607 1466 0.007248
Sp13.BD.MLB.SN 1186|FJ612352.1.1449 0.007395 1267 0.008153
Sp13.BD.MLB.SN 588|JN656823.1.1488 0.007330 1470 0.006965
Sp13.BD.MLB.SN 1033|FJ612150.1.1429 0.006959 1377 0.007059
Sp13.BD.MLB.SN 432|EU801985.1.1479 0.006657 1477 0.006296
Sp13.BD.MLB.SN 308|AY821964.1.1587 0.006624 1523 0.006075
Sp13.BD.MLB.SN 838|HM856394.1.1444 0.006178 1441 0.005989
Sp13.BD.MLB.SN 15|AY212727.1.1520 0.006067 1458 0.005813
Sp13.BD.MLB.SN 152|DQ316368.1.1499 0.005968 1464 0.005694
Sp13.BD.MLB.SN 397|EU800951.1.1447 0.005898 1258 0.006549
Sp13.BD.MLB.SN 549|AY212658.1.1521 0.005510 1470 0.005236
Sp13.BD.MLB.SN 22|JQIO01000292.890395.892182 0.005412 1495 0.005057
Sp13.BD.MLB.SN 956|AJ575544.1.1481 0.005392 1479 0.005093
Sp13.BD.MLB.SN 272|GQ340303.1.1376 0.005172 1354 0.005336
Sp13.BD.MLB.SN 608|GU305780.1.1493 0.004797 1486 0.004509
Sp13.BD.MLB.SN 485|AB294317.1.1398 0.004689 1375 0.004764
Sp13.BD.MLB.SN 889|EU800300.1.1497 0.004533 1494 0.004238
Sp13.BD.MLB.SN 992|EU800363.1.1479 0.004151 1456 0.003982
Sp13.BD.MLB.SN 1163|JX448591.1.1333 0.003946 1208 0.004563
Sp13.BD.MLB.SN 215|AY948053.1.1393 0.003931 1349 0.004070
Sp13.BD.MLB.SN 2209|HM856480.1.1443 0.003810 1389 0.003832
Sp13.BD.MLB.SN 270|AJ575707.1.1442 0.003789 1397 0.003789
Sp13.BD.MLB.SN 20|FQ659415.1.1402 0.003604 1197 0.004206
Sp13.BD.MLB.SN 769|AJ575689.1.1488 0.003312 1460 0.003169
Sp13.BD.MLB.SN 229|FJ801214.1.1467 0.003112 1452 0.002994
Sp13.BD.MLB.SN 802|FR874399.1.1765 0.002870 1658 0.002418
Sp13.BD.MLB.SN 1159|AY212606.1.1524 0.002837 1424 0.002783
Sp13.BD.MLB.SN 1183|JN656754.1.1483 0.002048 1363 0.002099
Sp13.BD.MLB.SN 1053|HM341084.1.1343 0.001966 1324 0.002074
Sp13.BD.MLB.SN 304|HM856521.1.1435 0.001887 1431 0.001842
Sp13.BD.MLB.SN 145|FN668105.1.1474 0.000571 1471 0.000542
Sp13.BD.MLB.SN 591|FN668106.1.1476 0.000189 1452 0.000182
Sp13.BD.MM110.DD 134|HM856497.1.1453 0.063991 1452 0.064500
Sp13.BD.MM110.DD 732|EU803419.1.1450 0.055247 1449 0.055802
Sp13.BD.MM110.DD 29|EU803670.1.1491 0.041606 1489 0.040895
Sp13.BD.MM110.DD 372|JN869138.1.1528 0.040643 1527 0.038954
Sp13.BD.MM110.DD 369|EU800356.1.1503 0.035430 1501 0.034546
Sp13.BD.MM110.DD 444|EU801289.1.1497 0.031078 1497 0.030384
Sp13.BD.MM110.DD 130|AACY020469740.331.1809 0.030853 1477 0.030572
Sp13.BD.MM110.DD 647|GU305843.1.1490 0.030759 1481 0.030397
Sp13.BD.MM110.DD 60|FJ827870.1.1488 0.030355 1481 0.029997
Sp13.BD.MM110.DD 363|EU801704.1.1457 0.029839 1452 0.030076
Sp13.BD.MM110.DD 50|FJ502278.1.1484 0.025429 1475 0.025232
Sp13.BD.MM110.DD 72|AY212701.1.1519 0.025003 1517 0.024122
Sp13.BD.MM110.DD 655|JN869127.1.1530 0.022789 1530 0.021799
Sp13.BD.MM110.DD 46|HM856485.1.1437 0.021053 1437 0.021442
Sp13.BD.MM110.DD 9|EU800380.1.1501 0.019755 1495 0.019339
Sp13.BD.MM110.DD 178|JN868757.1.1504 0.019464 1503 0.018953
Sp13.BD.MM110.DD 282|AB753961.1.1451 0.017909 1450 0.018076
Sp13.BD.MM110.DD 27|FJ502260.1.1488 0.015710 1474 0.015599
Sp13.BD.MM110.DD 85|FN668267.1.1475 0.015541 1474 0.015431
Sp13.BD.MM110.DD 154|FJ916097.1.1512 0.013763 1510 0.013340
Sp13.BD.MM110.DD 209|HM856384.1.1422 0.012457 1415 0.012884
Sp13.BD.MM110.DD 109|DQ316358.1.1315 0.012083 1284 0.013773
Sp13.BD.MM110.DD 36|HM129768.1.1441 0.011859 1432 0.012120
Sp13.BD.MM110.DD 346|HE574374.1.1795 0.011819 1653 0.010464
Sp13.BD.MM110.DD 221|GU305745.1.1479 0.011515 1441 0.011695
Sp13.BD.MM110.DD 81|HM856573.1.1433 0.011414 1430 0.011682
Sp13.BD.MM110.DD 128|GU305764.1.1479 0.011203 1479 0.011086
Sp13.BD.MM110.DD 701|EU803296.1.1449 0.010581 1444 0.010724
Sp13.BD.MM110.DD 881|EU703387.1.1470 0.010543 1465 0.010533
Sp13.BD.MM110.DD 251|EU801912.1.1498 0.009871 1491 0.009689
Sp13.BD.MM110.DD 91|EU802050.1.1484 0.009825 1480 0.009716
Sp13.BD.MM110.DD 394|GU305786.1.1496 0.009751 1489 0.009584
Sp13.BD.MM110.DD 599|JF429280.1.1446 0.009279 1437 0.009450
Sp13.BD.MM110.DD 510|AY752108.1.1394 0.009049 1383 0.009576
Sp13.BD.MM110.DD 572|EU800860.1.1489 0.009039 1483 0.008920
Sp13.BD.MM110.DD 830|EU801405.1.1499 0.008951 1497 0.008751
Sp13.BD.MM110.DD 312|HM128747.1.1413 0.008750 1387 0.009233
Sp13.BD.MM110.DD 136|AY752124.1.1378 0.008669 1378 0.009207
Sp13.BD.MM110.DD 267|FN668148.1.1473 0.008084 1272 0.009301
Sp13.BD.MM110.DD 57|EU801266.1.1487 0.007990 1467 0.007971
Sp13.BD.MM110.DD 124|FJ827886.1.1488 0.007708 1479 0.007627
Sp13.BD.MM110.DD 479|FN668181.1.1494 0.007235 1489 0.007111
Sp13.BD.MM110.DD 379|FJ612175.1.1411 0.007121 1367 0.007624
Sp13.BD.MM110.DD 431|GU305794.1.1495 0.007091 1495 0.006942
Sp13.BD.MM110.DD 252|EU800986.1.1502 0.006965 1498 0.006805
Sp13.BD.MM110.DD 254|FN668188.1.1485 0.006901 1396 0.007235
Sp13.BD.MM110.DD 499|EU801906.1.1470 0.006741 1467 0.006725
Sp13.BD.MM110.DD 42|FN668105.1.1474 0.006573 1474 0.006526
Sp13.BD.MM110.DD 26|X65557.1.1772 0.006208 1742 0.005216
Sp13.BD.MM110.DD 1|EU800415.1.1480 0.005739 1464 0.005737
Sp13.BD.MM110.DD 756|EU703454.1.1487 0.005716 1485 0.005633
Sp13.BD.MM110.DD 96|FN668279.1.1481 0.005686 1480 0.005623
Sp13.BD.MM110.DD 324|GU305778.1.1502 0.005583 1405 0.005816
Sp13.BD.MM110.DD 685|HM128623.1.1440 0.005356 1438 0.005451
Sp13.BD.MM110.DD 712|HM856521.1.1435 0.005295 1432 0.005412
Sp13.BD.MM110.DD 1370|DQ520173.1.1439 0.005078 1427 0.005208
Sp13.BD.MM110.DD 193|HM856411.1.1439 0.004729 1374 0.005037
Sp13.BD.MM110.DD 960|AJ575707.1.1442 0.004496 1434 0.004589
Sp13.BD.MM110.DD 104|FJ612248.1.1473 0.004435 1464 0.004434
Sp13.BD.MM110.DD 198|GU068021.1.1740 0.004425 1449 0.004469
Sp13.BD.MM110.DD 349|FJ820453.1.1493 0.004379 1483 0.004322
Sp13.BD.MM110.DD 679|EU801985.1.1479 0.004324 1478 0.004282
Sp13.BD.MM110.DD 578|FJ827863.1.1488 0.004029 1488 0.003963
Sp13.BD.MM110.DD 473|AY947917.1.1436 0.004026 1422 0.004144
Sp13.BD.MM110.DD 706|HM856533.1.1444 0.003817 1432 0.003901
Sp13.BD.MM110.DD 643|FJ800536.1.1472 0.003627 1472 0.003606
Sp13.BD.MM110.DD 255|HM856502.1.1441 0.003507 1429 0.003592
Sp13.BD.MM110.DD 425|EU703171.1.1433 0.003504 1409 0.003640
Sp13.BD.MM110.DD 740|FN668192.1.1485 0.003439 1465 0.003436
Sp13.BD.MM110.DD 653|EU802152.1.1466 0.003363 1442 0.003413
Sp13.BD.MM110.DD 51|HM856448.1.1440 0.003239 1429 0.003317
